Amália Moreno ,Faixa A ,Universidade Federal de Minas Gerais ,MG ,UFMG ,SE
Amanda Abati Aguiar ,Faixa A ,Centro Tecnológico da Marinha Em Sao Paulo ,SP ,CTM/SP ,SE
Amanda Dantas de Oliveira ,Faixa A ,Universidade Federal de São Carlos ,SP ,UFSCAR ,SU
Amanda Ribeiro de Oliveira ,Faixa A ,Universidade Federal de São Carlos ,SP ,UFSCAR ,SE
Amaro Xavier Braga Júnior ,Faixa A ,Universidade Federal de Alagoas ,AL ,UFAL ,NE
Amélia Augusta de Lima Friche ,Faixa A ,Universidade Federal de Minas Gerais ,MG ,UFMG ,SE
Amilcar Araujo Pereira ,Faixa A ,Universidade Federal do Rio de Janeiro ,RJ ,UFRJ ,SE
Amon Narciso de Barros ,Faixa A ,FGV São Paulo ,SP ,FGV-SP ,SE
Amurabi Pereira de Oliveira ,Faixa A ,Universidade Federal de Santa Catarina ,SC ,UFSC ,SU
Ana Carolina Barbosa Padovan ,Faixa A ,Universidade Federal de Alfenas ,MG ,UNIFAL/MG ,SE
Ana Carolina Coan ,Faixa A ,Universidade Estadual de Campinas ,SP ,UNICAMP ,SE
Ana Carolina de Aguiar Rodrigues ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
Ana Carolina de Campos ,Faixa A ,Universidade Federal de São Carlos ,SP ,UFSCAR ,SE
Ana Carolina Dias Guimarães ,Faixa A ,Universidade do Estado de Mato Grosso ,MT ,UNEMAT ,CO
Ana Carolina Figueiredo Lacerda Sakamoto ,Faixa A ,Universidade Federal da Paraíba ,PB ,UFPB ,NE
Ana Carolina Magalhães ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
Ana Carolina Migliorini Figueira ,Faixa A ,Faculdade de Ciências Médicas da UNICAMP ,SP ,FCM/UNICAMP ,SE
Ana Carolina Simionato ,Faixa A ,Universidade Federal de São Carlos ,SP ,UFSCAR ,SE
Ana Célia Rodrigues ,Faixa A ,Universidade Federal Fluminense ,RJ ,UFF ,SE
Ana Clarissa dos Santos Pires ,Faixa A ,Universidade Federal de Viçosa ,MG ,UFV ,SE
Ana Cláudia Fernandes Medeiros Braga ,Faixa A ,Universidade Federal da Paraíba ,PB ,UFPB ,NE
Ana Claudia Souza Vazquez ,Faixa A ,Fundação Universidade Federal de Ciências da Saúd ,RS ,UFCSPA ,SU
Ana Cristina Batista dos Santos ,Faixa A ,Universidade Estadual do Ceará ,CE ,UECE ,NE
Ana de Lourdes Sá de Lira ,Faixa A ,Universidade Estadual do Piauí ,PI ,UESPI ,NE
Ana Elisa Madalena Rinaldi ,Faixa A ,Universidade Federal de Uberlândia ,MG ,UFU ,SE
Ana Flávia Alves Parente ,Faixa A ,Universidade Federal do Amazonas ,AM ,UFAM ,NO
Ana Isabel Ribeiro Parente Cortez ,Faixa A ,Universidade Regional do Cariri ,CE ,URCA ,NE
Ana Jérsia Araújo ,Faixa A ,Universidade Federal do Piauí ,PI ,UFPI ,NE
Ana Leonor Chies Santiago Santos ,Faixa A ,Universidade Federal do Rio Grande do Sul ,RS ,UFRGS ,SU
Ana Luiza Bachmann Schogor ,Faixa A ,Universidade do Estado de Santa Catarina ,SC ,UDESC ,SU
